,fips_code,state,name,poor_or_fair_health,monthly_poor_physical_health_days,monthly_poor_mental_health_days,adult_smoking,adult_obesity,physical_inactivity,access_to_exercise,excessive_drinking,alcohol_impaired_driving_deaths,uninsured_under_65,primary_care_physicians,dentists,mental_health_providers,flu_vaccinations,high_school_grad,some_college,unemployed,children_in_poverty,single_parent_households,social_associations,violent_crime,injury_deaths,severe_housing_problems,households_with_high_housing_costs,households_with_overcrowding,households_with_lack_of_kitchen_or_plumbing_facilities,life_expectancy,diabetes_prevalence,hiv_prevalence,limited_access_to_healthy_foods,drug_overdose_deaths,motor_vehicle_crash_deaths,uninsured_adults,uninsured_children,other_primary_care_providers,median_household_income,children_eligible_for_free_or_reduced_price_lunch,homicides,firearm_fatalities,homeownership,severe_housing_cost_burden,population,proficient_in_English
1437,28019,MS,Choctaw County,0.2296507862,4.3400739199,4.2617356106,0.19681922710000002,0.36200000000000004,0.35200000000000004,0.0837720838,0.12964869869999998,0.0,0.1369736233,0.0002426595,0.0003624064,0.000966417,0.29,0.725,0.5867136978,0.0486809899,0.326,0.3478021978,12.132977432999999,60.448528078,96.42271719200001,0.16792738280000002,0.1282442748,0.0329803328,0.016641452299999998,74.98642455699999,0.171,129.1,0.012408728600000002,3.2121491315,37.77342811,0.17261392949999999,0.0485286526,0.0004832085,37561.0,0.6934306568999999,0.7,1.7,0.7648530331000001,0.1010441226,8278.0,0.0
1438,28021,MS,Claiborne County,0.34959493840000005,5.3724993560000005,4.7968650797,0.2569351591,0.444,0.365,0.0036443149,0.10075399199999999,0.8260869565000001,0.1401883354,0.00043768459999999997,0.0002234637,0.00033519550000000005,0.36,0.875,0.5424274973,0.0978905735,0.535,0.6593124679,8.753692964199999,279.98437297,116.29948214,0.20689655170000001,0.1680532446,0.0576802508,0.0094043887,72.624195898,0.156,349.1,0.1111417432,3.2121491315,41.856571482,0.1818181818,0.0425844347,0.0007821229,28518.0,1.0,17.1,1.7,0.6871666143999999,0.1586802828,8950.0,0.0043093408
1439,28023,MS,Clarke County,0.1900273202,3.7798246625,3.9653259729,0.1753194366,0.331,0.308,0.2434855367,0.1243143019,0.20588235289999998,0.14826746289999998,0.0003776435,0.0001895375,0.0001895375,0.28,0.8263681592000001,0.5293155168,0.0616608652,0.321,0.3814180929,22.658610271999997,0.0,100.70117858,0.1380107941,0.1154446178,0.0098689283,0.0215882806,72.333353108,0.14300000000000002,371.0,0.0562735103,3.2121491315,30.773288785,0.1827350613,0.0598753725,0.0006317918,38840.0,0.805451448,0.7,13.7,0.8301649647,0.1012679628,15828.0,0.0
1440,28025,MS,Clay County,0.2442443657,4.4483646685,4.1795852192,0.20049553190000002,0.37200000000000005,0.314,0.6735485122,0.1107117527,0.4166666667,0.15656534,0.0005037783,0.00015274950000000002,0.0017311609,0.43,0.875,0.5637963545,0.0674987264,0.377,0.5851426139,14.609571788,275.81751317,70.878797257,0.1917896087,0.18018494059999998,0.0186016677,0.007697241800000001,74.857742708,0.16699999999999998,268.7,0.1526537925,3.2121491315,21.268450380999997,0.19854217289999998,0.0501905972,0.0004582485,36044.0,1.0,7.1,16.0,0.7178752767000001,0.1590909091,19640.0,0.0020695145000000003
1441,28027,MS,Coahoma County,0.2904989716,4.8340145918,4.5750328286,0.23275308449999998,0.41700000000000004,0.322,0.7223433137999999,0.10160624970000001,0.11111111109999999,0.131331606,0.0005880129,0.0004750799,0.003714261,0.35,0.7378289473999999,0.5734042553,0.0732937353,0.504,0.7082897684999999,9.6602125247,0.0,125.02878952,0.1709401709,0.1495535714,0.0240384615,0.0181623932,71.321585321,0.172,816.3,0.1645825454,18.160736488,27.714585956,0.1748888889,0.0376319413,0.001079727,28921.0,1.0,34.6,34.5,0.5124317092,0.1492978566,23154.0,0.0013923198000000002
1442,28029,MS,Copiah County,0.2493886932,4.3599975922,4.3363759757,0.2058044843,0.37,0.341,0.4486739787,0.12099678009999999,0.2857142857,0.1435233161,0.0003510989,0.00038574839999999997,0.0001052041,0.45,0.7907627119,0.5111973723,0.0565870911,0.34600000000000003,0.5091743119,12.288462889000002,0.0,77.35784624600001,0.17682926829999998,0.1443793287,0.0369918699,0.013719512199999999,73.884213805,0.161,428.2,0.1173395626,3.2121491315,36.689787844,0.18480221230000002,0.0411314764,0.0002104082,39107.0,0.9993020009,9.9,18.8,0.7791982,0.1395219566,28516.0,0.0103498164
1443,28031,MS,Covington County,0.24440617109999999,4.3540379172,4.2866113210000005,0.2024770257,0.358,0.32899999999999996,0.302074816,0.1254353239,0.1923076923,0.1655807543,0.0004088099,0.0003144819,0.0006813774000000001,0.45,0.8,0.5975903614,0.0481781867,0.34700000000000003,0.4452631579,12.775307885,0.0,109.21529838,0.1398852224,0.1123267688,0.026398852200000003,0.0091822095,72.684383662,0.161,261.5,0.08615287514663178,3.2121491315,37.419657794,0.2106199413,0.059689453499999996,0.0004193092,39644.0,0.8371772806000001,11.7,18.5,0.8167365226000001,0.1245765322,19079.0,0.0012346372
1444,28033,MS,DeSoto County,0.1647402456,3.3930342794999997,3.8658249898,0.1942775632,0.32299999999999995,0.3,0.7041090963,0.1560095876,0.17757009350000003,0.1030807531,0.00035305309999999996,0.0003692287,0.000777618,0.51,0.89,0.6658261363,0.0379142621,0.128,0.320950572,8.3138299993,161.37522163,64.48725136600001,0.1296450592,0.1040423565,0.023496084,0.0095817364,76.908781037,0.11800000000000001,206.3,0.08880577140000001,19.708727745,14.451289548,0.13072010039999998,0.0417173613,0.0005650318,66125.0,0.5333214062,5.4,15.0,0.7316131986,0.1048918392,178751.0,0.0109040786
1445,28035,MS,Forrest County,0.2013485957,3.9847191887,4.0765008533,0.1914615843,0.348,0.28,0.8811887795000001,0.1498366719,0.1666666667,0.1548642966,0.0005264613,0.0003445032,0.0035775331,0.47,0.7953931848000001,0.6726728226,0.047987752800000005,0.275,0.4817264184,14.346069309,195.5616019,71.956993878,0.20207253890000001,0.1822506862,0.0235840629,0.0098266929,74.414171352,0.11599999999999999,626.1,0.071158591,8.3555414831,14.807345193,0.19588169719999998,0.047000445999999994,0.0024380226,39394.0,0.7964178045999999,8.8,17.6,0.5508676906000001,0.1691410194,75471.0,0.0042525537
1446,28037,MS,Franklin County,0.2071065021,4.0841950762,4.092838184200001,0.2027515742,0.365,0.312,0.6993101748999999,0.1259807664,0.0,0.1383537653,0.0005140067,0.000257566,0.00151670365715743,0.26,0.825,0.4777965149,0.0677726791,0.285,0.42529348990000004,23.130300694000002,0.0,125.46730168,0.0972644377,0.08275862070000001,0.0197568389,0.0121580547,75.173350766,0.165,170.2,0.12897564179999998,3.2121491315,43.645092655,0.17437401309999997,0.0546197039,0.00128783,38370.0,0.7786946737,0.7,28.2,0.7652566999999999,0.0727896341,7765.0,0.0006814774
